IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (Â£),NumCalls
235138081.0,01-Jan-09,2009,00:00:37,0,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,SW11 4LB,SW11,,,E09000032,WANDSWORTH,Wandsworth,E05014010,Battersea Park,Battersea Park,528652.0,176830.0,528650,176850,51.47581173,-0.148894436,London,Battersea,319.0,Battersea,342.0,Clapham,2.0,2.0,2,60,255,1.0
1091.0,01-Jan-09,2009,00:00:46,0,Special Service,Special Service,Assist other agencies,Outdoor,Lake/pond/reservoir ,Open land/water - nearest gazetteer location,SE1 7SG,SE1,,,E09000022,LAMBETH,Lambeth,E05014118,Waterloo & South Bank,Waterloo & South Bank,530485.0,179007.0,530450,179050,51.49495659,-0.12171203,London,Lambeth,,,,,,,1,60,255,1.0
2091.0,01-Jan-09,2009,00:03:00,0,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,N9 9EL,N9,,,E09000010,ENFIELD,Enfield,E05013682,Haselbury,Haselbury,533773.0,194492.0,533750,194450,51.63334229,-0.068487965,London,Edmonton,308.0,Edmonton,,,1.0,1.0,1,60,255,2.0
3091.0,01-Jan-09,2009,00:04:27,0,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,UB10 0DG,UB10,100021491527.0,21401491.0,E09000017,HILLINGDON,Hillingdon,E05013571,Hillingdon East,Hillingdon East,507738.0,182805.0,507750,182850,51.53388171,-0.448088609,London,Hillingdon,210.0,Hillingdon,,,1.0,1.0,1,60,255,2.0
5091.0,01-Jan-09,2009,00:05:39,0,Fire,Secondary Fire,,Outdoor,Cycle path/public footpath/bridleway ,In street outside gazetteer location,N7 8HG,N7,,,E09000019,ISLINGTON,Islington,E05013708,Laycock,Laycock,531058.0,185307.0,531050,185350,51.55144063,-0.111120228,London,Holloway,233.0,Holloway,250.0,Holloway,1.0,2.0,2,60,255,1.0
6091.0,01-Jan-09,2009,00:06:03,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW5,0.0,20499122.0,E09000007,CAMDEN,Camden,E05013663,Kentish Town North,Kentish Town North,,,529450,185250,,,London,Kentish Town,172.0,Kentish Town,222.0,Kentish Town,1.0,2.0,2,60,255,1.0
8091.0,01-Jan-09,2009,00:12:31,0,Special Service,Special Service,RTC,Road Vehicle,Car ,On motorway / elevated road,SE3 9PP,SE3,,,E09000011,GREENWICH,Greenwich,E05014084,Kidbrooke Village & Sutcliffe,Kidbrooke Village & Sutcliffe,541086.0,175646.0,541050,175650,51.46221068,0.029557239,London,Lee Green,522.0,East Greenwich,,,1.0,1.0,1,60,255,1.0
9091.0,01-Jan-09,2009,00:13:42,0,Fire,Secondary Fire,,Outdoor Structure,Refuse/rubbish tip ,On land associated with building,TW3 2RE,TW3,100021558493.0,21500957.0,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,514529.0,174907.0,514550,174950,51.46155963,-0.35278278,London,Heston,342.0,Heston,349.0,Heston,1.0,2.0,2,89,378,1.0
10091.0,01-Jan-09,2009,00:14:51,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,EC1V 7PB,EC1V,5300036673.0,21604971.0,E09000019,ISLINGTON,Islington,E05013711,St. Peter's & Canalside,St. Peter's & Canalside,531902.0,182654.0,531950,182650,51.52740262,-0.099947864,London,Shoreditch,255.0,Clerkenwell,,,1.0,1.0,1,60,255,2.0
11091.0,01-Jan-09,2009,00:14:57,0,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Correct incident location,WC1B 3RA,WC1B,5048015.0,20401090.0,E09000007,CAMDEN,Camden,E05013653,Bloomsbury,Bloomsbury,529914.0,181705.0,529950,181750,51.5193345,-0.12893928,London,Soho,297.0,Euston,,,1.0,1.0,1,60,255,1.0
12091.0,01-Jan-09,2009,00:16:02,0,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,N21,0.0,20703023.0,E09000010,ENFIELD,Enfield,E05013681,Grange Park,Grange Park,,,531350,195850,,,London,Southgate,,,,,2.0,2.0,2,119,506,1.0
14091.0,01-Jan-09,2009,00:17:58,0,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SE5,0.0,22500901.0,E09000028,SOUTHWARK,Southwark,E05011115,St. Giles,St. Giles,,,532850,177050,,,London,Peckham,256.0,Peckham,,,1.0,1.0,1,60,255,1.0
15091.0,01-Jan-09,2009,00:19:00,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,TW3 4DU,TW3,100021546216.0,21500344.0,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,513945.0,176409.0,513950,176450,51.47517732,-0.360701875,London,Heston,595.0,Feltham,,,1.0,1.0,1,60,255,1.0
21091.0,01-Jan-09,2009,00:20:43,0,Special Service,Special Service,Medical Incident,Outdoor,Road surface/pavement ,In street outside gazetteer location,E8 1HE,E8,,,E09000012,HACKNEY,Hackney,E05009376,Homerton,Homerton,534967.0,184753.0,534950,184750,51.54554042,-0.054986897,London,Homerton,56.0,Homerton,,,1.0,1.0,1,60,255,1.0
20091.0,01-Jan-09,2009,00:23:28,0,False Alarm,AFA,,Non Residential,Department Store ,Correct incident location,EN2 6LJ,EN2,207037833.0,20703007.0,E09000010,ENFIELD,Enfield,E05013693,Town,Town,532748.0,196549.0,532750,196550,51.65206994,-0.082508446,London,Enfield,239.0,Enfield,,,1.0,1.0,1,85,361,1.0
17091.0,01-Jan-09,2009,00:23:38,0,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EC1A,0.0,21690439.0,E09000001,CITY OF LONDON,City Of london,E05009304,Farringdon Within,Farringdon Within,,,532150,181550,,,London,Dowgate,696.0,Dowgate,,,1.0,1.0,1,60,255,1.0
18091.0,01-Jan-09,2009,00:24:11,0,False Alarm,False alarm - Good intent,,Outdoor,Park ,In street remote from gazetteer location,SE26 5PE,SE26,,,E09000006,BROMLEY,Bromley,E05014002,Penge & Cator,Penge & Cator,535420.0,170720.0,535450,170750,51.41932551,-0.053835299,London,Beckenham,669.0,Beckenham,,,1.0,1.0,1,60,255,2.0
22091.0,01-Jan-09,2009,00:25:18,0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,CR4,0.0,22105073.0,E09000024,MERTON,Merton,E05013813,Cricket Green,Cricket Green,,,526550,168950,,,London,Mitcham,313.0,Mitcham,,,1.0,1.0,1,60,255,1.0
23091.0,01-Jan-09,2009,00:26:20,0,Fire,Primary Fire,,Non Residential,Laundrette ,Correct incident location,W10 5NE,W10,217048290.0,21700912.0,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009396,Golborne,Golborne,524281.0,181426.0,524250,181450,51.51809326,-0.210182764,London,North Kensington,131.0,North Kensington,397.0,Paddington,3.0,5.0,6,623,2648,7.0
32091.0,01-Jan-09,2009,00:30:50,0,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,N11,0.0,20701932.0,E09000010,ENFIELD,Enfield,E05013686,New Southgate,New Southgate,,,528650,192350,,,London,Southgate,,,,,1.0,1.0,1,60,255,1.0
