CalYear,HourOfCall,Easting_rounded,Northing_rounded,FirstPumpArriving_AttendanceTime,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (Â£),NumCalls,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds
1,0,528650,176850,319.0,2.0,2.0,2,60,255,1.0,75.57802538175525,243.42197461830474,319
1,0,533750,194450,308.0,1.0,1.0,1,60,255,2.0,151.0,157.0,308
1,0,507750,182850,210.0,1.0,1.0,1,60,255,2.0,108.0,102.0,210
1,0,531050,185350,233.0,1.0,2.0,2,60,255,1.0,114.0,119.0,233
1,0,529450,185250,172.0,1.0,2.0,2,60,255,1.0,83.0,89.0,172
1,0,541050,175650,522.0,1.0,1.0,1,60,255,1.0,119.0,403.0,522
1,0,514550,174950,342.0,1.0,2.0,2,89,378,1.0,178.0,164.0,342
1,0,531950,182650,255.0,1.0,1.0,1,60,255,2.0,121.0,134.0,255
1,0,529950,181750,297.0,1.0,1.0,1,60,255,1.0,110.0,187.0,297
1,0,532850,177050,256.0,1.0,1.0,1,60,255,1.0,12.789716407537554,243.2102835925714,256
1,0,513950,176450,595.0,1.0,1.0,1,60,255,1.0,72.0,523.0,595
1,0,534950,184750,56.0,1.0,1.0,1,60,255,1.0,-186.49031092548518,242.49031092575663,56
1,0,532750,196550,239.0,1.0,1.0,1,85,361,1.0,180.0,59.0,239
1,0,532150,181550,696.0,1.0,1.0,1,60,255,1.0,129.0,567.0,696
1,0,535450,170750,669.0,1.0,1.0,1,60,255,2.0,109.0,560.0,669
1,0,526550,168950,313.0,1.0,1.0,1,60,255,1.0,169.0,144.0,313
1,0,524250,181450,131.0,3.0,5.0,6,623,2648,7.0,89.0,42.0,131
1,0,528850,185850,220.0,1.0,1.0,1,60,255,1.0,102.0,118.0,220
1,0,530250,181350,349.0,1.0,1.0,1,60,255,1.0,150.0,199.0,349
1,0,543750,177750,369.0,2.0,3.0,3,92,391,1.0,242.0,127.0,369
1,0,530350,183150,285.0,1.0,1.0,1,60,255,1.0,60.0,225.0,285
1,0,541650,183250,190.0,2.0,2.0,2,60,255,1.0,71.0,119.0,190
1,0,533350,178250,652.0,1.0,1.0,1,60,255,1.0,107.0,545.0,652
1,0,531350,181450,388.0,1.0,1.0,1,60,255,1.0,115.0,273.0,388
1,0,532850,179150,276.0,1.0,1.0,1,60,255,2.0,155.0,121.0,276
1,0,530350,176950,331.0,2.0,3.0,3,60,255,1.0,150.0,181.0,331
1,0,529850,172650,657.0,1.0,1.0,1,60,255,1.0,136.0,521.0,657
1,0,544150,190550,336.0,1.0,1.0,1,60,255,2.0,112.0,224.0,336
1,0,537750,182250,281.0,1.0,1.0,1,60,255,1.0,122.0,159.0,281
1,0,531350,173950,381.0,1.0,2.0,2,60,255,1.0,163.0,218.0,381
1,0,537050,189150,116.0,2.0,3.0,3,104,442,1.0,-126.65270007168346,242.65270007187723,116
1,0,537350,176450,203.0,2.0,3.0,3,140,595,1.0,100.0,103.0,203
1,0,530250,180450,283.0,1.0,1.0,1,60,255,1.0,140.0,143.0,283
1,0,543550,178050,457.0,1.0,1.0,1,60,255,1.0,95.0,362.0,457
1,1,532350,165650,266.0,1.0,1.0,1,60,255,2.0,172.0,94.0,266
1,1,531250,168750,275.0,1.0,1.0,1,60,255,1.0,143.0,132.0,275
1,1,517550,170350,646.0,2.0,2.0,2,60,255,1.0,175.0,471.0,646
1,1,535750,185350,245.0,1.0,1.0,1,60,255,1.0,157.0,88.0,245
1,1,525650,192850,591.0,2.0,3.0,3,80,340,1.0,201.0,390.0,591
1,1,523850,182750,472.0,2.0,2.0,11,1462,6214,16.0,149.0,323.0,472
1,1,536650,178450,280.0,1.0,1.0,1,60,255,1.0,70.0,210.0,280
1,1,528850,187850,343.0,1.0,1.0,1,60,255,1.0,100.0,243.0,343
1,1,547550,173250,552.0,1.0,1.0,1,60,255,1.0,137.0,415.0,552
1,1,531650,181850,189.0,1.0,1.0,1,60,255,1.0,115.0,74.0,189
1,1,530350,182550,235.0,1.0,1.0,1,60,255,1.0,110.0,125.0,235
1,1,523250,168150,348.0,2.0,2.0,2,127,540,1.0,121.0,227.0,348
1,1,529950,185450,275.0,1.0,1.0,1,60,255,1.0,146.0,129.0,275
1,1,532350,176650,340.0,1.0,1.0,1,60,255,1.0,96.48205437700423,243.5179456230351,340
1,1,522650,186050,488.0,1.0,1.0,1,60,255,1.0,110.0,378.0,488
1,1,532850,180450,312.0,1.0,1.0,1,60,255,3.0,194.0,118.0,312
1,1,542450,175650,272.0,2.0,2.0,2,136,578,6.0,151.0,121.0,272
1,1,544750,174450,351.0,1.0,1.0,1,60,255,2.0,109.0,242.0,351
1,1,517450,169350,389.0,2.0,3.0,3,60,255,1.0,145.3624910011163,243.63750899885954,389
1,1,530250,175950,274.0,1.0,2.0,2,149,633,1.0,103.0,171.0,274
1,2,547550,187150,287.0,1.0,1.0,1,60,255,1.0,165.0,122.0,287
1,2,539350,184750,160.0,1.0,2.0,2,60,255,2.0,116.0,44.0,160
1,2,535050,182150,268.0,1.0,1.0,1,108,459,2.0,180.0,88.0,268
1,2,534750,170250,380.0,1.0,1.0,1,60,255,2.0,315.0,65.0,380
1,2,526450,196050,213.0,2.0,2.0,2,60,255,1.0,-30.05267258243188,243.05267258257686,213
1,2,537350,164850,616.0,1.0,1.0,1,60,255,1.0,213.0,403.0,616
1,3,525250,191350,455.0,2.0,2.0,2,60,255,1.0,155.0,300.0,455
1,3,532350,170050,165.0,1.0,1.0,1,81,344,1.0,-77.89616478147306,242.8961647816533,165
1,3,543950,185250,380.0,1.0,2.0,2,60,255,1.0,135.0,245.0,380
1,3,530450,181350,301.0,4.0,4.0,4,60,255,1.0,194.0,107.0,301
1,3,540450,176950,307.0,2.0,2.0,2,60,255,1.0,138.0,169.0,307
1,3,525150,181950,214.0,1.0,2.0,2,60,255,1.0,66.0,148.0,214
1,3,537550,186850,196.0,1.0,2.0,2,60,255,1.0,-46.96908871309168,242.96908871321418,196
1,3,509050,178650,160.0,1.0,1.0,1,60,255,1.0,138.0,22.0,160
1,3,518950,186650,627.0,2.0,3.0,3,320,1360,3.0,174.0,453.0,627
1,3,524850,181450,283.0,3.0,4.0,4,60,255,1.0,184.0,99.0,283
1,3,531250,181450,353.0,2.0,2.0,2,60,255,1.0,172.0,181.0,353
1,3,526850,176750,237.0,2.0,2.0,2,60,255,1.0,210.0,27.0,237
1,3,532950,186150,300.0,1.0,2.0,2,60,255,1.0,134.0,166.0,300
1,3,535050,184150,360.0,1.0,2.0,2,60,255,1.0,185.0,175.0,360
1,3,520450,175650,651.0,2.0,2.0,2,75,319,1.0,172.0,479.0,651
1,3,517450,169350,355.0,2.0,3.0,3,60,255,1.0,111.47549414629444,243.52450585370661,355
1,3,534050,198050,486.0,1.0,1.0,1,60,255,1.0,361.0,125.0,486
1,3,534250,168250,1130.0,2.0,2.0,2,60,255,1.0,244.0,886.0,1130
1,4,530350,185050,456.0,1.0,1.0,1,60,255,1.0,138.0,318.0,456
1,4,515750,172950,473.0,1.0,1.0,1,60,255,1.0,103.0,370.0,473
1,4,533450,189050,407.0,1.0,2.0,2,60,255,1.0,305.0,102.0,407
1,4,525950,182350,249.0,1.0,2.0,2,60,255,1.0,122.0,127.0,249
1,4,524350,178250,323.0,1.0,1.0,1,60,255,1.0,186.0,137.0,323
1,4,544950,182950,269.0,2.0,3.0,3,320,1360,1.0,198.0,71.0,269
1,4,545750,183250,377.0,1.0,1.0,1,81,344,1.0,123.0,254.0,377
1,4,528050,181050,361.0,1.0,1.0,1,60,255,1.0,197.0,164.0,361
1,4,529650,185950,249.0,2.0,3.0,3,60,255,1.0,122.0,127.0,249
1,4,537950,162850,189.0,1.0,1.0,1,60,255,1.0,111.0,78.0,189
1,4,527350,185850,936.0,1.0,1.0,1,60,255,1.0,247.0,689.0,936
1,4,536750,198250,406.0,1.0,2.0,7,1415,6014,4.0,145.0,261.0,406
1,4,541450,177750,307.0,2.0,2.0,2,60,255,1.0,154.0,153.0,307
1,5,549450,178250,183.0,1.0,2.0,2,85,361,1.0,110.0,73.0,183
1,5,531650,179450,218.0,2.0,2.0,2,60,255,1.0,156.0,62.0,218
1,5,541250,183750,280.0,1.0,2.0,2,60,255,1.0,137.0,143.0,280
1,5,535850,174850,612.0,1.0,1.0,1,60,255,1.0,107.0,505.0,612
1,5,530350,173750,360.0,1.0,1.0,1,60,255,1.0,169.0,191.0,360
1,5,553750,192550,457.0,1.0,2.0,2,73,310,1.0,356.0,101.0,457
1,5,538050,162550,226.0,1.0,1.0,1,60,255,1.0,135.0,91.0,226
1,5,517450,169350,339.0,2.0,3.0,3,60,255,1.0,95.52358743730798,243.47641256270373,339
1,5,509650,191350,421.0,2.0,2.0,2,60,255,1.0,120.0,301.0,421
